dmd_type,dmd_id,dmd_name,bnf_code
VMP,29903211000001100,Edoxaban 15mg tablets,0208020AAAAAAAA
VMP,29903311000001108,Edoxaban 30mg tablets,0208020AAAAABAB
VMP,29903411000001101,Edoxaban 60mg tablets,0208020AAAAACAC
AMP,29902111000001100,Lixiana 15mg tablets,0208020AABBAAAA
AMP,29902411000001105,Lixiana 30mg tablets,0208020AABBABAB
AMP,29902711000001104,Lixiana 60mg tablets,0208020AABBACAC
VMP,319740004,Acenocoumarol 1mg tablets,0208020H0AAAAAA
AMP,738511000001103,Sinthrome 1mg tablets,0208020H0BBAAAA
VMP,319745009,Phenindione 10mg tablets,0208020N0AAAAAA
AMP,3780911000001106,Phenindione 10mg tablets,0208020N0AAAAAA
AMP,3781211000001108,Phenindione 10mg tablets,0208020N0AAAAAA
AMP,3781411000001107,Phenindione 10mg tablets,0208020N0AAAAAA
VMP,319746005,Phenindione 25mg tablets,0208020N0AAABAB
AMP,3782011000001106,Phenindione 25mg tablets,0208020N0AAABAB
AMP,3782311000001109,Phenindione 25mg tablets,0208020N0AAABAB
AMP,3782511000001103,Phenindione 25mg tablets,0208020N0AAABAB
VMP,319747001,Phenindione 50mg tablets,0208020N0AAACAC
AMP,3783211000001107,Phenindione 50mg tablets,0208020N0AAACAC
AMP,3783611000001109,Phenindione 50mg tablets,0208020N0AAACAC
AMP,3783811000001108,Phenindione 50mg tablets,0208020N0AAACAC
VMP,24351511000001102,Phenprocoumon 3mg tablets,0208020S0AAAAAA
AMP,24226511000001103,Marcoumar 3mg tablets,0208020S0BBAAAA
VMP,319733000,Warfarin 1mg tablets,0208020V0AAAAAA
AMP,421411000001103,Warfarin 1mg tablets,0208020V0AAAAAA
AMP,19835411000001102,Warfarin 1mg tablets,0208020V0AAAAAA
AMP,303111000001107,Warfarin 1mg tablets,0208020V0AAAAAA
AMP,739511000001109,Warfarin 1mg tablets,0208020V0AAAAAA
AMP,9798311000001105,Warfarin 1mg tablets,0208020V0AAAAAA
AMP,10418211000001107,Warfarin 1mg tablets,0208020V0AAAAAA
AMP,16071211000001106,Warfarin 1mg tablets,0208020V0AAAAAA
AMP,28988911000001100,Warfarin 1mg tablets,0208020V0AAAAAA
AMP,22735311000001104,Warfarin 1mg tablets,0208020V0AAAAAA
AMP,272711000001102,Warfarin 1mg tablets,0208020V0AAAAAA
AMP,524811000001109,Warfarin 1mg tablets,0208020V0AAAAAA
AMP,30945211000001105,Warfarin 1mg tablets,0208020V0AAAAAA
AMP,746411000001102,Warfarin 1mg tablets,0208020V0AAAAAA
AMP,17876711000001107,Warfarin 1mg tablets,0208020V0AAAAAA
AMP,321511000001106,Warfarin 1mg tablets,0208020V0AAAAAA
AMP,34760111000001106,Warfarin 1mg tablets,0208020V0AAAAAA
AMP,437711000001102,Warfarin 1mg tablets,0208020V0AAAAAA
AMP,590411000001106,Warfarin 1mg tablets,0208020V0AAAAAA
AMP,36843011000001100,Warfarin 1mg tablets,0208020V0AAAAAA
AMP,21919511000001107,Warfarin 1mg tablets,0208020V0AAAAAA
AMP,10138911000001108,Warfarin 1mg tablets,0208020V0AAAAAA
VMP,319734006,Warfarin 3mg tablets,0208020V0AAABAB
AMP,456711000001104,Warfarin 3mg tablets,0208020V0AAABAB
AMP,19835611000001104,Warfarin 3mg tablets,0208020V0AAABAB
AMP,555911000001104,Warfarin 3mg tablets,0208020V0AAABAB
AMP,584211000001100,Warfarin 3mg tablets,0208020V0AAABAB
AMP,9798011000001107,Warfarin 3mg tablets,0208020V0AAABAB
AMP,10418411000001106,Warfarin 3mg tablets,0208020V0AAABAB
AMP,16071411000001105,Warfarin 3mg tablets,0208020V0AAABAB
AMP,28989111000001105,Warfarin 3mg tablets,0208020V0AAABAB
AMP,22735611000001109,Warfarin 3mg tablets,0208020V0AAABAB
AMP,927211000001109,Warfarin 3mg tablets,0208020V0AAABAB
AMP,772211000001101,Warfarin 3mg tablets,0208020V0AAABAB
AMP,30945411000001109,Warfarin 3mg tablets,0208020V0AAABAB
AMP,347911000001109,Warfarin 3mg tablets,0208020V0AAABAB
AMP,17876911000001109,Warfarin 3mg tablets,0208020V0AAABAB
AMP,550411000001100,Warfarin 3mg tablets,0208020V0AAABAB
AMP,34760411000001101,Warfarin 3mg tablets,0208020V0AAABAB
AMP,508311000001104,Warfarin 3mg tablets,0208020V0AAABAB
AMP,473111000001108,Warfarin 3mg tablets,0208020V0AAABAB
AMP,36844011000001103,Warfarin 3mg tablets,0208020V0AAABAB
AMP,21919811000001105,Warfarin 3mg tablets,0208020V0AAABAB
