dmd_type,dmd_id,dmd_name,bnf_code
VMP,317919004,Bendroflumethiazide 2.5mg tablets,0202010B0AAABAB
AMP,772511000001103,Bendroflumethiazide 2.5mg tablets,0202010B0AAABAB
AMP,1711000001109,Bendroflumethiazide 2.5mg tablets,0202010B0AAABAB
AMP,288611000001101,Bendroflumethiazide 2.5mg tablets,0202010B0AAABAB
AMP,9792811000001103,Bendroflumethiazide 2.5mg tablets,0202010B0AAABAB
AMP,10383911000001102,Bendroflumethiazide 2.5mg tablets,0202010B0AAABAB
AMP,15986611000001101,Bendroflumethiazide 2.5mg tablets,0202010B0AAABAB
AMP,28947811000001100,Bendroflumethiazide 2.5mg tablets,0202010B0AAABAB
AMP,22616411000001103,Bendroflumethiazide 2.5mg tablets,0202010B0AAABAB
AMP,11009711000001106,Bendroflumethiazide 2.5mg tablets,0202010B0AAABAB
AMP,20323211000001103,Bendroflumethiazide 2.5mg tablets,0202010B0AAABAB
AMP,464311000001103,Bendroflumethiazide 2.5mg tablets,0202010B0AAABAB
AMP,750511000001102,Bendroflumethiazide 2.5mg tablets,0202010B0AAABAB
AMP,29998911000001102,Bendroflumethiazide 2.5mg tablets,0202010B0AAABAB
AMP,38805011000001103,Bendroflumethiazide 2.5mg tablets,0202010B0AAABAB
AMP,914811000001108,Bendroflumethiazide 2.5mg tablets,0202010B0AAABAB
AMP,35194911000001100,Bendroflumethiazide 2.5mg tablets,0202010B0AAABAB
AMP,17796011000001102,Bendroflumethiazide 2.5mg tablets,0202010B0AAABAB
AMP,7487011000001109,Bendroflumethiazide 2.5mg tablets,0202010B0AAABAB
AMP,29774011000001106,Bendroflumethiazide 2.5mg tablets,0202010B0AAABAB
AMP,17195711000001104,Bendroflumethiazide 2.5mg tablets,0202010B0AAABAB
AMP,779811000001105,Bendroflumethiazide 2.5mg tablets,0202010B0AAABAB
AMP,516711000001101,Bendroflumethiazide 2.5mg tablets,0202010B0AAABAB
AMP,21782411000001107,Bendroflumethiazide 2.5mg tablets,0202010B0AAABAB
AMP,454811000001100,Bendroflumethiazide 2.5mg tablets,0202010B0AAABAB
VMP,317920005,Bendroflumethiazide 5mg tablets,0202010B0AAACAC
AMP,501911000001107,Bendroflumethiazide 5mg tablets,0202010B0AAACAC
AMP,720911000001105,Bendroflumethiazide 5mg tablets,0202010B0AAACAC
AMP,143511000001102,Bendroflumethiazide 5mg tablets,0202010B0AAACAC
AMP,9793111000001104,Bendroflumethiazide 5mg tablets,0202010B0AAACAC
AMP,10384111000001103,Bendroflumethiazide 5mg tablets,0202010B0AAACAC
AMP,15986811000001102,Bendroflumethiazide 5mg tablets,0202010B0AAACAC
AMP,34015811000001107,Bendroflumethiazide 5mg tablets,0202010B0AAACAC
AMP,22617011000001105,Bendroflumethiazide 5mg tablets,0202010B0AAACAC
AMP,11010111000001102,Bendroflumethiazide 5mg tablets,0202010B0AAACAC
AMP,32661411000001109,Bendroflumethiazide 5mg tablets,0202010B0AAACAC
AMP,320511000001104,Bendroflumethiazide 5mg tablets,0202010B0AAACAC
AMP,532811000001101,Bendroflumethiazide 5mg tablets,0202010B0AAACAC
AMP,29999111000001107,Bendroflumethiazide 5mg tablets,0202010B0AAACAC
AMP,38805211000001108,Bendroflumethiazide 5mg tablets,0202010B0AAACAC
AMP,169811000001105,Bendroflumethiazide 5mg tablets,0202010B0AAACAC
AMP,17796911000001103,Bendroflumethiazide 5mg tablets,0202010B0AAACAC
AMP,29774211000001101,Bendroflumethiazide 5mg tablets,0202010B0AAACAC
AMP,17196011000001105,Bendroflumethiazide 5mg tablets,0202010B0AAACAC
AMP,436711000001100,Bendroflumethiazide 5mg tablets,0202010B0AAACAC
AMP,21782811000001109,Bendroflumethiazide 5mg tablets,0202010B0AAACAC
AMP,159711000001108,Bendroflumethiazide 5mg tablets,0202010B0AAACAC
VMP,8306711000001109,Bendroflumethiazide 5mg/5ml oral suspension,0202010B0AAAQAQ
AMP,8287311000001100,Bendroflumethiazide 5mg/5ml oral suspension,0202010B0AAAQAQ
VMP,8307011000001105,Bendroflumethiazide 1.25mg/5ml oral suspension,0202010B0AAAUAU
AMP,8284811000001100,Bendroflumethiazide 1.25mg/5ml oral suspension,0202010B0AAAUAU
VMP,8306811000001101,Bendroflumethiazide 2.5mg/5ml oral suspension,0202010B0AAAXAX
AMP,8287011000001103,Bendroflumethiazide 2.5mg/5ml oral suspension,0202010B0AAAXAX
AMP,672111000001100,Aprinox 2.5mg tablets,0202010B0BBAAAB
AMP,18149011000001101,Neo-Naclex 2.5mg tablets,0202010B0BEABAB
VMP,376905005,Chlorothiazide 500mg tablets,0202010D0AAAFAF
AMP,28377711000001102,Chlorothiazide 500mg tablets,0202010D0AAAFAF
VMP,408039005,Chlorothiazide 250mg/5ml oral suspension,0202010D0AAAUAU
AMP,15865211000001103,Chlorothiazide 250mg/5ml oral suspension,0202010D0AAAUAU
VMP,12503011000001109,Chlorothiazide 250mg/5ml oral solution,0202010D0AABCBC
AMP,12462011000001107,Chlorothiazide 250mg/5ml oral solution,0202010D0AABCBC
VMP,12504311000001109,Chlorothiazide 40mg/5ml oral solution,0202010D0AABHBH
VMP,12504411000001102,Chlorothiazide 40mg/5ml oral suspension,0202010D0AABHBH
AMP,12470211000001107,Chlorothiazide 40mg/5ml oral solution,0202010D0AABHBH
AMP,12460411000001104,Chlorothiazide 40mg/5ml oral suspension,0202010D0AABHBH
VMP,12502211000001105,Chlorothiazide 200mg/5ml oral solution,0202010D0AABIBI
AMP,12446111000001102,Chlorothiazide 200mg/5ml oral solution,0202010D0AABIBI
VMP,12503711000001106,Chlorothiazide 30mg/5ml oral solution,0202010D0AABJBJ
VMP,12503811000001103,Chlorothiazide 30mg/5ml oral suspension,0202010D0AABJBJ
AMP,12467411000001100,Chlorothiazide 30mg/5ml oral solution,0202010D0AABJBJ
AMP,12458511000001105,Chlorothiazide 30mg/5ml oral suspension,0202010D0AABJBJ
VMP,12431111000001105,Chlorothiazide 12.5mg/5ml oral solution,0202010D0AABWBW
VMP,12431211000001104,Chlorothiazide 12.5mg/5ml oral suspension,0202010D0AABWBW
AMP,12426911000001101,Chlorothiazide 12.5mg/5ml oral solution,0202010D0AABWBW
AMP,12426611000001107,Chlorothiazide 12.5mg/5ml oral suspension,0202010D0AABWBW
VMP,12502411000001109,Chlorothiazide 225mg/5ml oral solution,0202010D0AACDCD
VMP,12502511000001108,Chlorothiazide 225mg/5ml oral suspension,0202010D0AACDCD
AMP,12450411000001108,Chlorothiazide 225mg/5ml oral solution,0202010D0AACDCD
AMP,12449211000001104,Chlorothiazide 225mg/5ml oral suspension,0202010D0AACDCD
VMP,395516007,Chlorothiazide 250mg tablets,0202010D0AACYCY
AMP,15864911000001108,Chlorothiazide 250mg tablets,0202010D0AACYCY
VMP,8358511000001105,Chlorothiazide 150mg/5ml oral suspension,0202010D0AADDDD
AMP,8338411000001107,Chlorothiazide 150mg/5ml oral suspension,0202010D0AADDDD
VMP,8358711000001100,Chlorothiazide 25mg/5ml oral suspension,0202010D0AADEDE
AMP,8340611000001108,Chlorothiazide 25mg/5ml oral suspension,0202010D0AADEDE
VMP,35148011000001104,Chlorothiazide 300mg capsules,0202010D0AADFDF
AMP,35132711000001104,Chlorothiazide 300mg capsules,0202010D0AADFDF
VMP,12502311000001102,Chlorothiazide 200mg/5ml oral suspension,0202010D0AADGDG
AMP,12445611000001100,Chlorothiazide 200mg/5ml oral suspension,0202010D0AADGDG
AMP,7652811000001107,Diuril 250mg/5ml oral suspension,0202010D0BCAAAU
VMP,317935006,Chlortalidone 50mg tablets,0202010F0AAAAAA
AMP,23983011000001107,Chlortalidone 50mg tablets,0202010F0AAAAAA
AMP,23996811000001109,Chlortalidone 50mg tablets,0202010F0AAAAAA
AMP,31989011000001101,Chlortalidone 50mg tablets,0202010F0AAAAAA
AMP,38831911000001108,Chlortalidone 50mg tablets,0202010F0AAAAAA
AMP,23667611000001109,Chlortalidone 50mg tablets,0202010F0AAAAAA
AMP,285911000001101,Hygroton 50mg tablets,0202010F0BBAAAA
VMP,376209006,Hydrochlorothiazide 25mg tablets,0202010L0AAABAB
AMP,20528911000001104,Hydrochlorothiazide 25mg tablets,0202010L0AAABAB
VMP,376508004,Hydrochlorothiazide 50mg tablets,0202010L0AAACAC
AMP,20529211000001103,Hydrochlorothiazide 50mg tablets,0202010L0AAACAC
VMP,8529211000001103,Hydrochlorothiazide 12.5mg/5ml oral solution,0202010L0AAAJAJ
VMP,8529311000001106,Hydrochlorothiazide 12.5mg/5ml oral suspension,0202010L0AAAJAJ
AMP,8518311000001109,Hydrochlorothiazide 12.5mg/5ml oral solution,0202010L0AAAJAJ
AMP,8519311000001103,Hydrochlorothiazide 12.5mg/5ml oral suspension,0202010L0AAAJAJ
VMP,8529411000001104,Hydrochlorothiazide 25mg/5ml oral solution,0202010L0AAAMAM
VMP,8529511000001100,Hydrochlorothiazide 25mg/5ml oral suspension,0202010L0AAAMAM
AMP,8517311000001108,Hydrochlorothiazide 25mg/5ml oral solution,0202010L0AAAMAM
AMP,8519611000001108,Hydrochlorothiazide 25mg/5ml oral suspension,0202010L0AAAMAM
VMP,8529611000001101,Hydrochlorothiazide 50mg/5ml oral solution,0202010L0AAAPAP
VMP,8529711000001105,Hydrochlorothiazide 50mg/5ml oral suspension,0202010L0AAAPAP
AMP,8520711000001103,Hydrochlorothiazide 50mg/5ml oral solution,0202010L0AAAPAP
AMP,8521011000001109,Hydrochlorothiazide 50mg/5ml oral suspension,0202010L0AAAPAP
VMP,8529011000001108,Hydrochlorothiazide 10mg/5ml oral solution,0202010L0AAASAS
VMP,8529111000001109,Hydrochlorothiazide 10mg/5ml oral suspension,0202010L0AAASAS
AMP,8516711000001109,Hydrochlorothiazide 10mg/5ml oral solution,0202010L0AAASAS
AMP,8519211000001106,Hydrochlorothiazide 10mg/5ml oral suspension,0202010L0AAASAS
VMP,12538711000001107,Hydrochlorothiazide 5mg/5ml oral solution,0202010L0AAATAT
VMP,12538811000001104,Hydrochlorothiazide 5mg/5ml oral suspension,0202010L0AAATAT
AMP,12508711000001100,Hydrochlorothiazide 5mg/5ml oral solution,0202010L0AAATAT
AMP,12508411000001106,Hydrochlorothiazide 5mg/5ml oral suspension,0202010L0AAATAT
VMP,24594211000001108,Hydrochlorothiazide 12.5mg tablets,0202010L0AAAYAY
AMP,24583511000001107,Hydrochlorothiazide 12.5mg tablets,0202010L0AAAYAY
AMP,4544011000001109,Hydrosaluric 25mg tablets,0202010L0BCAAAB
VMP,317956008,Indapamide 2.5mg tablets,0202010P0AAAAAA
AMP,56211000001102,Indapamide 2.5mg tablets,0202010P0AAAAAA
AMP,397311000001100,Indapamide 2.5mg tablets,0202010P0AAAAAA
AMP,598411000001109,Indapamide 2.5mg tablets,0202010P0AAAAAA
AMP,10380011000001106,Indapamide 2.5mg tablets,0202010P0AAAAAA
AMP,14784911000001103,Indapamide 2.5mg tablets,0202010P0AAAAAA
AMP,13579511000001104,Indapamide 2.5mg tablets,0202010P0AAAAAA
AMP,8139411000001107,Indapamide 2.5mg tablets,0202010P0AAAAAA
AMP,146711000001100,Indapamide 2.5mg tablets,0202010P0AAAAAA
AMP,30213711000001108,Indapamide 2.5mg tablets,0202010P0AAAAAA
AMP,450511000001107,Indapamide 2.5mg tablets,0202010P0AAAAAA
AMP,10437611000001100,Indapamide 2.5mg tablets,0202010P0AAAAAA
AMP,17932311000001102,Indapamide 2.5mg tablets,0202010P0AAAAAA
AMP,35593111000001109,Indapamide 2.5mg tablets,0202010P0AAAAAA
AMP,55911000001104,Indapamide 2.5mg tablets,0202010P0AAAAAA
AMP,692411000001104,Indapamide 2.5mg tablets,0202010P0AAAAAA
AMP,29877611000001107,Indapamide 2.5mg tablets,0202010P0AAAAAA
AMP,18283111000001109,Indapamide 2.5mg tablets,0202010P0AAAAAA
AMP,711711000001108,Indapamide 2.5mg tablets,0202010P0AAAAAA
AMP,21924511000001102,Indapamide 2.5mg tablets,0202010P0AAAAAA
AMP,214811000001107,Indapamide 2.5mg tablets,0202010P0AAAAAA
VMP,21578911000001105,Indapamide 2.5mg/5ml oral suspension,0202010P0AAABAB
AMP,21575211000001108,Indapamide 2.5mg/5ml oral suspension,0202010P0AAABAB
AMP,14170611000001100,Indapamide 1.5mg modified-release tablets,0202010P0AAADAD
AMP,16569411000001100,Indapamide 1.5mg modified-release tablets,0202010P0AAADAD
AMP,14598711000001105,Indapamide 1.5mg modified-release tablets,0202010P0AAADAD
AMP,321811000001109,Natrilix 2.5mg tablets,0202010P0BBAAAA
AMP,456611000001108,Natrilix SR 1.5mg tablets,0202010P0BBABAD
AMP,14242211000001100,Tensaid XL 1.5mg tablets,0202010P0BHAAAD
AMP,15436111000001104,Indipam XL 1.5mg tablets,0202010P0BJAAAD
AMP,16737911000001105,Rawel XL 1.5mg tablets,0202010P0BLAAAD
AMP,24331611000001104,Cardide SR 1.5mg tablets,0202010P0BMAAAD
AMP,34494911000001106,Alkapamid XL 1.5mg tablets,0202010P0BNAAAD
AMP,36594211000001103,Alkapamid XL 1.5mg tablets,0202010P0BPAAAD
AMP,36812711000001103,Lorvacs XL 1.5mg tablets,0202010P0BQAAAD
VMP,317965001,Metolazone 5mg tablets,0202010V0AAAAAA
AMP,24502311000001105,Metolazone 5mg tablets,0202010V0AAAAAA
VMP,13005911000001103,Metolazone 2.5mg/5ml oral solution,0202010V0AAAKAK
VMP,13006011000001106,Metolazone 2.5mg/5ml oral suspension,0202010V0AAAKAK
AMP,12952111000001101,Metolazone 2.5mg/5ml oral solution,0202010V0AAAKAK
AMP,12951611000001103,Metolazone 2.5mg/5ml oral suspension,0202010V0AAAKAK
VMP,13005511000001105,Metolazone 1.25mg/5ml oral solution,0202010V0AAAMAM
VMP,13005611000001109,Metolazone 1.25mg/5ml oral suspension,0202010V0AAAMAM
AMP,12950711000001104,Metolazone 1.25mg/5ml oral solution,0202010V0AAAMAM
AMP,12950411000001105,Metolazone 1.25mg/5ml oral suspension,0202010V0AAAMAM
VMP,374173002,Metolazone 2.5mg tablets,0202010V0AAANAN
AMP,24502011000001107,Metolazone 2.5mg tablets,0202010V0AAANAN
AMP,375611000001109,Metenix 5mg tablets,0202010V0BBAAAA
AMP,21574911000001103,Zaroxolyn 2.5mg tablets,0202010V0BEAAAN
AMP,21574611000001109,Zaroxolyn 5mg tablets,0202010V0BEABAA
VMP,317970008,Xipamide 20mg tablets,0202010Y0AAAAAA
AMP,348911000001105,Diurexan 20mg tablets,0202010Y0BBAAAA
VMP,318052005,Amiloride 5mg tablets,0202030C0AAACAC
AMP,382611000001108,Amiloride 5mg tablets,0202030C0AAACAC
AMP,20165011000001109,Amiloride 5mg tablets,0202030C0AAACAC
AMP,754911000001104,Amiloride 5mg tablets,0202030C0AAACAC
AMP,824411000001106,Amiloride 5mg tablets,0202030C0AAACAC
AMP,9783911000001100,Amiloride 5mg tablets,0202030C0AAACAC
AMP,10377111000001101,Amiloride 5mg tablets,0202030C0AAACAC
AMP,22588511000001108,Amiloride 5mg tablets,0202030C0AAACAC
AMP,590911000001103,Amiloride 5mg tablets,0202030C0AAACAC
AMP,37031611000001109,Amiloride 5mg tablets,0202030C0AAACAC
AMP,38779011000001108,Amiloride 5mg tablets,0202030C0AAACAC
AMP,505611000001103,Amiloride 5mg tablets,0202030C0AAACAC
