dmd_type,dmd_id,dmd_name,bnf_code
VMP,326350003,Ethinylestradiol 20microgram / Norethisterone acetate 1mg tablets,0703010E0AAAAAA
VMP,326309006,Ethinylestradiol 20microgram / Desogestrel 150microgram tablets,0703010E0AAABAB
VMP,326361006,Ethinylestradiol 20microgram / Gestodene 75microgram tablets,0703010E0AAACAC
VMP,4639611000001105,Ethinylestradiol 33.9micrograms/24hours / Norelgestromin 203micrograms/24hours transdermal patches,0703010E0AAAEAE
VMP,21711311000001107,Ethinylestradiol 20microgram / Drospirenone 3mg tablets,0703010E0AAAFAF
AMP,3058111000001101,Loestrin 20 tablets,0703010E0BBAAAA
AMP,208311000001105,Mercilon 150microgram/20microgram tablets,0703010E0BCAAAB
AMP,3049211000001104,Femodette tablets,0703010E0BDAAAC
AMP,4608311000001102,Evra transdermal patches,0703010E0BGAAAE
AMP,11758611000001104,Sunya 20/75 tablets,0703010E0BHAAAC
AMP,17346911000001108,Gedarel 20microgram/150microgram tablets,0703010E0BIAAAB
AMP,17353311000001100,Millinette 20microgram/75microgram tablets,0703010E0BJAAAC
AMP,22263611000001105,Yaz tablets,0703010E0BKAAAF
AMP,21933611000001103,Lestramyl 20microgram/150microgram tablets,0703010E0BLAAAB
AMP,24676211000001100,Aidulan 20microgram/75microgram tablets,0703010E0BMAAAC
AMP,24678111000001105,Munalea 150microgram/20microgram tablets,0703010E0BNAAAB
AMP,28006411000001100,Alenini 150microgram/20microgram tablets,0703010E0BPAAAB
AMP,29910811000001108,Bimizza 150microgram/20microgram tablets,0703010E0BQAAAB
AMP,30195711000001107,Eloine 0.02mg/3mg tablets,0703010E0BRAAAF
AMP,30252711000001105,Daylette 0.02mg/3mg tablets,0703010E0BSAAAF
AMP,30805711000001103,Juliperla 75microgram/20microgram tablets,0703010E0BTAAAC
AMP,38335711000001105,Akizza 75microgram/20microgram tablets,0703010E0BUAAAC
VMP,326310001,Ethinylestradiol 30microgram / Desogestrel 150microgram tablets,0703010F0AAAAAA
VMP,326324002,Ethinylestradiol 30microgram / Levonorgestrel 150microgram tablets,0703010F0AAACAC
VMP,326358005,Ethinylestradiol 30microgram / Gestodene 75microgram tablets,0703010F0AAAEAE
VMP,326351004,Ethinylestradiol 30microgram / Norethisterone acetate 1.5mg tablets,0703010F0AAAFAF
VMP,36062011000001103,Generic Femodene ED tablets,0703010F0AAAGAG
VMP,3546811000001107,Generic Microgynon 30 ED tablets,0703010F0AAAHAH
VMP,377360003,Ethinylestradiol 30microgram / Drospirenone 3mg tablets,0703010F0AAAJAJ
AMP,524211000001108,Marvelon tablets,0703010F0BBAAAA
AMP,42111000001107,Microgynon 30 tablets,0703010F0BEAAAC
AMP,3052511000001108,Microgynon 30 ED tablets,0703010F0BEABAH
AMP,492611000001103,Ovranette 150microgram/30microgram tablets,0703010F0BFAAAC
AMP,3058411000001106,Loestrin 30 tablets,0703010F0BIAAAF
AMP,3048811000001105,Femodene tablets,0703010F0BJAAAE
AMP,3174811000001109,Femodene ED tablets,0703010F0BJABAG
AMP,439011000001108,Yasmin tablets,0703010F0BLAAAJ
AMP,11753211000001109,Katya 30/75 tablets,0703010F0BMAAAE
AMP,16614111000001103,Levest 150/30 tablets,0703010F0BNAAAC
AMP,17220611000001108,Levest 150/30 tablets,0703010F0BNABAC
AMP,17346711000001106,Rigevidon tablets,0703010F0BPAAAC
AMP,17348811000001102,Gedarel 30microgram/150microgram tablets,0703010F0BQAAAA
AMP,17351511000001107,Millinette 30microgram/75microgram tablets,0703010F0BRAAAE
AMP,18358111000001100,Elevin 150microgram/30microgram tablets,0703010F0BSAAAC
AMP,21730911000001106,Cimizt 30microgram/150microgram tablets,0703010F0BTAAAA
AMP,21930311000001102,Lestramyl 30microgram/150microgram tablets,0703010F0BUAAAA
AMP,23649211000001107,Lucette 0.03mg/3mg tablets,0703010F0BVAAAJ
AMP,24564811000001106,Acondro 0.03mg/3mg tablets,0703010F0BWAAAJ
AMP,24676611000001103,Aidulan 30microgram/75microgram tablets,0703010F0BXAAAE
AMP,24677511000001100,Maexeni 150microgram/30microgram tablets,0703010F0BYAAAC
AMP,24677911000001107,Munalea 150microgram/30microgram tablets,0703010F0BZAAAA
AMP,24684111000001107,Alenvona 150microgram/30microgram tablets,0703010F0CBAAAA
AMP,24684511000001103,Erlibelle 30microgram/150microgram tablets,0703010F0CDAAAC
AMP,27979911000001107,Dretine 0.03mg/3mg tablets,0703010F0CEAAAJ
AMP,29911411000001102,Yacella 0.03mg/3mg tablets,0703010F0CFAAAJ
AMP,30805911000001101,Sofiperla 75microgram/30microgram tablets,0703010F0CGAAAE
AMP,33017111000001106,Yiznell 0.03mg/3mg tablets,0703010F0CHAAAJ
AMP,34104511000001102,Leandra 30microgram/150microgram tablets,0703010F0CIAAAC
AMP,34181511000001103,Ellanite 0.03mg/3mg tablets,0703010F0CJAAAJ
AMP,38340211000001108,Akizza 75microgram/30microgram tablets,0703010F0CKAAAE
VMP,326341000,Ethinylestradiol 35microgram / Norethisterone 500microgram tablets,0703010G0AAAAAA
AMP,3227811000001102,Ethinylestradiol 35microgram / Norethisterone 500microgram tablets,0703010G0AAAAAA
AMP,4431511000001108,Ethinylestradiol 35microgram / Norethisterone 500microgram tablets,0703010G0AAAAAA
VMP,377414004,Ethinylestradiol 35microgram / Norethisterone 1mg tablets,0703010G0AAABAB
AMP,3228611000001102,Ethinylestradiol 35microgram / Norethisterone 1mg tablets,0703010G0AAABAB
AMP,4431211000001105,Ethinylestradiol 35microgram / Norethisterone 1mg tablets,0703010G0AAABAB
VMP,326364003,Ethinylestradiol 35microgram / Norgestimate 250microgram tablets,0703010G0AAACAC
AMP,235311000001105,Ovysmen 500microgram/35microgram tablets,0703010G0BBAAAA
AMP,312411000001108,Brevinor 500microgram/35microgram tablets,0703010G0BCAAAA
AMP,403611000001106,Norimin 1mg/35microgram tablets,0703010G0BDAAAB
AMP,380211000001105,Cilest 35microgram/250microgram tablets,0703010G0BFAAAC
AMP,22562211000001105,Lizinna 250microgram/35microgram tablets,0703010G0BGAAAC
AMP,31364011000001106,Cilique 250microgram/35microgram tablets,0703010G0BHAAAC
VMP,326369008,Mestranol 50microgram / Norethisterone 1mg tablets,0703010M0AAAAAA
AMP,3831411000001104,Norinyl-1 tablets,0703010M0BBAAAA
VMP,3545111000001106,Generic Logynon tablets,0703010P0AAAAAA
VMP,3545011000001105,Generic Logynon ED tablets,0703010P0AAAEAE
AMP,3213311000001106,Logynon tablets,0703010P0BBAAAA
AMP,3215011000001109,Logynon ED tablets,0703010P0BBABAE
AMP,3236411000001104,Binovum tablets,0703010P0BDAAAB
AMP,4432011000001108,Synphase tablets,0703010P0BEAAAF
AMP,3233311000001102,Trinovum tablets,0703010P0BFAAAC
AMP,3047311000001102,Triadene tablets,0703010P0BHAAAD
AMP,17444111000001106,TriRegol tablets,0703010P0BIAAAA
VMP,15473911000001109,Generic Qlaira tablets,0703010R0AAAAAA
AMP,15470011000001100,Qlaira tablets,0703010R0BBAAAA
VMP,22403311000001100,Estradiol 1.5mg / Nomegestrol 2.5mg tablets,0703010S0AAAAAA
AMP,22311511000001103,Zoely 2.5mg/1.5mg tablets,0703010S0BBAAAA
