dmd_type,dmd_id,dmd_name,bnf_code
VMP,32936711000001100,Conjugated oestrogens 450microgram / Bazedoxifene 20mg modified-release tablets,0604011ADAAAAAA
AMP,32927411000001106,Duavive 0.45mg/20mg modified-release tablets,0604011ADBBAAAA
VMP,325480003,Ethinylestradiol 10microgram tablets,0604011D0AAAAAA
AMP,734211000001107,Ethinylestradiol 10microgram tablets,0604011D0AAAAAA
AMP,526411000001104,Ethinylestradiol 10microgram tablets,0604011D0AAAAAA
AMP,692011000001108,Ethinylestradiol 10microgram tablets,0604011D0AAAAAA
VMP,325481004,Ethinylestradiol 50microgram tablets,0604011D0AAACAC
AMP,4111411000001103,Ethinylestradiol 50microgram tablets,0604011D0AAACAC
AMP,4111811000001101,Ethinylestradiol 50microgram tablets,0604011D0AAACAC
AMP,4111611000001100,Ethinylestradiol 50microgram tablets,0604011D0AAACAC
VMP,325482006,Ethinylestradiol 1mg tablets,0604011D0AAAEAE
AMP,3962511000001105,Ethinylestradiol 1mg tablets,0604011D0AAAEAE
AMP,3963211000001101,Ethinylestradiol 1mg tablets,0604011D0AAAEAE
AMP,3962811000001108,Ethinylestradiol 1mg tablets,0604011D0AAAEAE
VMP,11738011000001105,Ethinylestradiol 2microgram tablets,0604011D0AAALAL
AMP,14778411000001108,Ethinylestradiol 2microgram tablets,0604011D0AAALAL
AMP,11733811000001109,Ethinylestradiol 2microgram tablets,0604011D0AAALAL
VMP,8794111000001104,Ethinylestradiol 2microgram capsules,0604011D0AAAWAW
AMP,8752311000001103,Ethinylestradiol 2microgram capsules,0604011D0AAAWAW
VMP,325541008,Estradiol 50mg implant,0604011G0AAABAB
AMP,3773511000001101,Estradiol 50mg implant,0604011G0AAABAB
AMP,3774411000001102,Estradiol 50mg implant,0604011G0AAABAB
AMP,3773711000001106,Estradiol 50mg implant,0604011G0AAABAB
AMP,27322111000001108,Estradiol 50mg implant,0604011G0AAABAB
VMP,325546003,Estradiol 2mg tablets,0604011G0AAAIAI
AMP,3348711000001103,Estradiol 2mg tablets,0604011G0AAAIAI
AMP,3365411000001107,Estradiol 2mg tablets,0604011G0AAAIAI
AMP,3454911000001101,Estradiol 2mg tablets,0604011G0AAAIAI
AMP,3447411000001102,Estradiol 2mg tablets,0604011G0AAAIAI
AMP,10276811000001100,Estradiol 2mg tablets,0604011G0AAAIAI
VMP,325577001,Estradiol 0.06% gel (750microgram per actuation),0604011G0AAAUAU
VMP,36064911000001108,Estradiol 25micrograms/24hours transdermal patches,0604011G0AABABA
VMP,325545004,Estradiol 1mg tablets,0604011G0AABDBD
AMP,3346811000001105,Estradiol 1mg tablets,0604011G0AABDBD
AMP,3367011000001105,Estradiol 1mg tablets,0604011G0AABDBD
AMP,3448611000001100,Estradiol 1mg tablets,0604011G0AABDBD
VMP,36065111000001109,Estradiol 40micrograms/24hours transdermal patches,0604011G0AABEBE
VMP,36065511000001100,Estradiol 80micrograms/24hours transdermal patches,0604011G0AABGBG
VMP,36065011000001108,Estradiol 37.5micrograms/24hours transdermal patches,0604011G0AABHBH
VMP,3664211000001102,Estradiol 500microgram gel sachets,0604011G0AABIBI
VMP,3664111000001108,Estradiol 1mg gel sachets,0604011G0AABJBJ
VMP,36064811000001103,Estradiol 100micrograms/24hours transdermal patches,0604011G0AABNBN
VMP,36065411000001104,Estradiol 75micrograms/24hours transdermal patches,0604011G0AABRBR
